"run","randomSeed","perception_radius","treasure_count","area_dimensions","navigation_memory","treasure_value","treasure_decay_rate","explorer_count"
112,-323793906,4,30,40,0.3,1000.0,0.01,100
114,-323793761,4,30,40,0.3,1000.0,0.01,300
116,-323793406,4,30,40,0.5,1000.0,0.01,200
118,-323793066,4,30,70,0.1,1000.0,0.01,100
120,-323791539,4,30,70,0.1,1000.0,0.01,300
122,-323787361,4,30,70,0.3,1000.0,0.01,200
124,-323783557,4,30,70,0.5,1000.0,0.01,100
126,-323781944,4,30,70,0.5,1000.0,0.01,300
128,-323776745,4,30,100,0.1,1000.0,0.01,200
130,-323765908,4,30,100,0.3,1000.0,0.01,100
132,-323758606,4,30,100,0.3,1000.0,0.01,300
134,-323736696,4,30,100,0.5,1000.0,0.01,200
136,-323724225,4,50,40,0.1,1000.0,0.01,100
138,-323724124,4,50,40,0.1,1000.0,0.01,300
140,-323723972,4,50,40,0.3,1000.0,0.01,200
142,-323723874,4,50,40,0.5,1000.0,0.01,100
144,-323723843,4,50,40,0.5,1000.0,0.01,300
146,-323723667,4,50,70,0.1,1000.0,0.01,200
148,-323722232,4,50,70,0.3,1000.0,0.01,100
150,-323721716,4,50,70,0.3,1000.0,0.01,300
152,-323718980,4,50,70,0.5,1000.0,0.01,200
154,-323717680,4,50,100,0.1,1000.0,0.01,100
156,-323712813,4,50,100,0.1,1000.0,0.01,300
158,-323701040,4,50,100,0.3,1000.0,0.01,200
160,-323694667,4,50,100,0.5,1000.0,0.01,100
162,-323691003,4,50,100,0.5,1000.0,0.01,300
164,-323681034,5,10,40,0.1,1000.0,0.01,200
166,-323680133,5,10,40,0.3,1000.0,0.01,100
168,-323679756,5,10,40,0.3,1000.0,0.01,300
170,-323678301,5,10,40,0.5,1000.0,0.01,200
172,-323677310,5,10,70,0.1,1000.0,0.01,100
174,-323672404,5,10,70,0.1,1000.0,0.01,300
176,-323660273,5,10,70,0.3,1000.0,0.01,200
178,-323646017,5,10,70,0.5,1000.0,0.01,100
180,-323642070,5,10,70,0.5,1000.0,0.01,300
182,-323624390,5,10,100,0.1,1000.0,0.01,200
184,-323590522,5,10,100,0.3,1000.0,0.01,100
186,-323576922,5,10,100,0.3,1000.0,0.01,300
188,-323523955,5,10,100,0.5,1000.0,0.01,200
190,-323488349,5,30,40,0.1,1000.0,0.01,100
192,-323488178,5,30,40,0.1,1000.0,0.01,300
194,-323487958,5,30,40,0.3,1000.0,0.01,200
196,-323487708,5,30,40,0.5,1000.0,0.01,100
198,-323487566,5,30,40,0.5,1000.0,0.01,300
200,-323487114,5,30,70,0.1,1000.0,0.01,200
202,-323484646,5,30,70,0.3,1000.0,0.01,100
204,-323483614,5,30,70,0.3,1000.0,0.01,300
206,-323478872,5,30,70,0.5,1000.0,0.01,200
208,-323475397,5,30,100,0.1,1000.0,0.01,100
210,-323469730,5,30,100,0.1,1000.0,0.01,300
212,-323452125,5,30,100,0.3,1000.0,0.01,200
214,-323441577,5,30,100,0.5,1000.0,0.01,100
216,-323435608,5,30,100,0.5,1000.0,0.01,300
218,-323418783,5,50,40,0.1,1000.0,0.01,200
220,-323418710,5,50,40,0.3,1000.0,0.01,100
222,-323418662,5,50,40,0.3,1000.0,0.01,300
224,-323418387,5,50,40,0.5,1000.0,0.01,200
226,-323418260,5,50,70,0.1,1000.0,0.01,100
228,-323418041,5,50,70,0.1,1000.0,0.01,300
230,-323415963,5,50,70,0.3,1000.0,0.01,200
232,-323414605,5,50,70,0.5,1000.0,0.01,100
234,-323413551,5,50,70,0.5,1000.0,0.01,300
236,-323411890,5,50,100,0.1,1000.0,0.01,200
238,-323407399,5,50,100,0.3,1000.0,0.01,100
240,-323404288,5,50,100,0.3,1000.0,0.01,300
242,-323396920,5,50,100,0.5,1000.0,0.01,200
244,-323389815,6,10,40,0.1,1000.0,0.01,100
246,-323389410,6,10,40,0.1,1000.0,0.01,300
248,-323387526,6,10,40,0.3,1000.0,0.01,200
250,-323386686,6,10,40,0.5,1000.0,0.01,100
252,-323386164,6,10,40,0.5,1000.0,0.01,300
254,-323384508,6,10,70,0.1,1000.0,0.01,200
256,-323377896,6,10,70,0.3,1000.0,0.01,100
258,-323373075,6,10,70,0.3,1000.0,0.01,300
260,-323360037,6,10,70,0.5,1000.0,0.01,200
262,-323351902,6,10,100,0.1,1000.0,0.01,100
264,-323337400,6,10,100,0.1,1000.0,0.01,300
266,-323300154,6,10,100,0.3,1000.0,0.01,200
268,-323273581,6,10,100,0.5,1000.0,0.01,100
270,-323261251,6,10,100,0.5,1000.0,0.01,300
272,-323234010,6,30,40,0.1,1000.0,0.01,200
274,-323233876,6,30,40,0.3,1000.0,0.01,100
276,-323233782,6,30,40,0.3,1000.0,0.01,300
278,-323233508,6,30,40,0.5,1000.0,0.01,200
280,-323233371,6,30,70,0.1,1000.0,0.01,100
282,-323232454,6,30,70,0.1,1000.0,0.01,300
284,-323229937,6,30,70,0.3,1000.0,0.01,200
286,-323227891,6,30,70,0.5,1000.0,0.01,100
288,-323227135,6,30,70,0.5,1000.0,0.01,300
290,-323224809,6,30,100,0.1,1000.0,0.01,200
292,-323216426,6,30,100,0.3,1000.0,0.01,100
294,-323212549,6,30,100,0.3,1000.0,0.01,300
296,-323200675,6,30,100,0.5,1000.0,0.01,200
298,-323190925,6,50,40,0.1,1000.0,0.01,100
300,-323190881,6,50,40,0.1,1000.0,0.01,300
302,-323190737,6,50,40,0.3,1000.0,0.01,200
304,-323190603,6,50,40,0.5,1000.0,0.01,100
306,-323190539,6,50,40,0.5,1000.0,0.01,300
308,-323190336,6,50,70,0.1,1000.0,0.01,200
310,-323189308,6,50,70,0.3,1000.0,0.01,100
312,-323189011,6,50,70,0.3,1000.0,0.01,300
314,-323188328,6,50,70,0.5,1000.0,0.01,200
316,-323187686,6,50,100,0.1,1000.0,0.01,100
318,-323185545,6,50,100,0.1,1000.0,0.01,300
320,-323180875,6,50,100,0.3,1000.0,0.01,200
322,-323177278,6,50,100,0.5,1000.0,0.01,100
324,-323175740,6,50,100,0.5,1000.0,0.01,300
